"title","isbn","authors","us_price","url"
"Learning Perl, 3rd Edition","0-596-00132-0","Randal L. Schwartz, Tom Phoenix","$34.95","http://www.oreilly.com/catalog/lperl3/"
"Oracle Scripts","1-56592-438-X","Brian Lomasky, David C. Kreines","$29.95","http://www.oreilly.com/catalog/oraclescrp/"
"Smileys","1-56592-041-4","David W. Sanderson","$7.95","http://www.oreilly.com/catalog/smileys/"
"Office 2001 for Macintosh: The Missing Manual","0-596-00081-2","Nan Barber, David Reynolds","$29.95","http://www.oreilly.com/catalog/msoffmacmm/"
"Oracle SQL Tuning Pocket Reference","0-596-00268-8","Mark Gurry","$12.95","http://www.oreilly.com/catalog/orsqltunpr/"
"Oracle PL/SQL Best Practices","0-596-00121-5","Steven Feuerstein","$19.95","http://www.oreilly.com/catalog/orbestprac/"
"Dreamweaver in a Nutshell","0-596-00239-4","Heather Williamson, Bruce A. Epstein","$29.95","http://www.oreilly.com/catalog/dreamweavernut/"
"Internet Core Protocols: The Definitive Guide","1-56592-572-6","Eric Hall","$39.95","http://www.oreilly.com/catalog/coreprot/"
"Effective awk Programming, 3rd Edition","0-596-00070-7","Arnold Robbins","$39.95","http://www.oreilly.com/catalog/awkprog3/"
"Java Swing","1-56592-455-X","Robert Eckstein, Marc Loy, David Wood","$49.95","http://www.oreilly.com/catalog/jswing/"
"Java Internationalization","0-596-00019-7","Andy Deitsch, David Czarnecki","$39.95","http://www.oreilly.com/catalog/javaint/"
"Network Printing","0-596-00038-3","Matthew Gast, Todd Radermacher","$34.95","http://www.oreilly.com/catalog/netprint/"
"Planning for Web","0-596-00364-1","Clay Shirky","$495.00","http://www.oreilly.com/catalog/wsrep/"
"Java Distributed Computing","1-56592-206-9","Jim Farley","$34.95","http://www.oreilly.com/catalog/javadc/"
"Building Java Enterprise Applications vol I: Architecture","0-596-00123-1","Brett McLaughlin","$39.95","http://www.oreilly.com/catalog/javentappsv1/"
"Windows 2000 Performance Guide","1-56592-466-5","Mark Friedman, Odysseas Pentakalos","$44.95","http://www.oreilly.com/catalog/w2kperf/"
"Oracle SQL*Plus: The Definitive Guide","1-56592-578-5","Jonathan Gennick","$39.95","http://www.oreilly.com/catalog/orsqplus/"
"XML in a Nutshell","0-596-00058-8","Elliotte Rusty Harold, W. Scott Means","$29.95","http://www.oreilly.com/catalog/xmlnut/"
"mod_perl Pocket Reference","0-596-00047-2","Andrew Ford","$9.95","http://www.oreilly.com/catalog/modperlpr/"
"Volume 2: Xlib Reference Manual","1-56592-006-6","Adrian Nye","$34.95","http://www.oreilly.com/catalog/v2/"
"Evil Geniuses in a Nutshell","1-56592-861-X","Illiad","$12.95","http://www.oreilly.com/catalog/evilgenius/"
"Mastering Algorithms with Perl","1-56592-398-7","Jon Orwant, Jarkko Hietaniemi, John Macdonald","$34.95","http://www.oreilly.com/catalog/maperl/"
"Oracle Built-in Packages","1-56592-375-8","Steven Feuerstein, Charles Dye, John Beresniewicz","$49.95","http://www.oreilly.com/catalog/oraclebip/"
"Windows System Policy Editor","1-56592-649-8","Stacey Anderson-Redick","$34.95","http://www.oreilly.com/catalog/winsyspe/"
"Database Nation ","0-596-00105-3","Simson Garfinkel","$16.95","http://www.oreilly.com/catalog/dbnationtp/"
"Developing Java Beans","1-56592-289-1","Robert Englander","$29.95","http://www.oreilly.com/catalog/javabeans/"
"Writing Excel Macros","1-56592-587-4","Steven Roman","$29.95","http://www.oreilly.com/catalog/exlmacro/"
"UML in a Nutshell","1-56592-448-7","Sinan Si Alhir","$24.95","http://www.oreilly.com/catalog/umlnut/"
"Java Enterprise in a Nutshell","1-56592-483-5","David Flanagan, Jim Farley, William Crawford, Kris Magnusson","$29.95","http://www.oreilly.com/catalog/jentnut/"
"The","0-596-00108-8","Eric S. Raymond","$16.95","http://www.oreilly.com/catalog/cathbazpaper/"
"Java Threads, 2nd Edition","1-56592-418-5","Scott Oaks, Henry Wong","$34.95","http://www.oreilly.com/catalog/jthreads2/"
"The Complete Windows NT &amp; UNIX System Administration Pack","---","O'Reilly & Associates, Inc.","$149.00","http://www.oreilly.com/catalog/hp12pack/"
"GNU Emacs Pocket Reference","1-56592-496-7","Debra Cameron","$9.95","http://www.oreilly.com/catalog/gnupr/"
"Learning Web Design","0-596-00036-7","Jennifer Niederst","$34.95","http://www.oreilly.com/catalog/learnweb/"
"JavaScript Application Cookbook","1-56592-577-7","Jerry Bradenbaugh","$34.95","http://www.oreilly.com/catalog/jscook/"
"Using SANs and NAS","0-596-00153-3","W. Curtis Preston","$29.95","http://www.oreilly.com/catalog/sansnas/"
"Windows XP Home Edition: The Missing Manual","0-596-00260-2","David Pogue","$29.95","http://www.oreilly.com/catalog/windowsxptmm/"
"Volume 6B: Motif Reference","1-56592-654-4","Antony Fountain, Paula Ferguson","$49.95","http://www.oreilly.com/catalog/motifref2/"
"Access Database Design &amp; Programming, 3rd Edition","0-59600-273-4","Steven Roman","$34.95","http://www.oreilly.com/catalog/accessdata3/"
"JavaScript Pocket Reference","1-56592-521-1","David Flanagan","$9.95","http://www.oreilly.com/catalog/jscriptpr/"
"Learning Carbon","0-596-00161-4","Apple Computer, Inc.","$34.95","http://www.oreilly.com/catalog/learncarbon/"
"Perl Cookbook","1-56592-243-3","Tom Christiansen, Nathan Torkington","$39.95","http://www.oreilly.com/catalog/cookbook/"
"Managing Mailing Lists","1-56592-259-X","Alan Schwartz","$29.95","http://www.oreilly.com/catalog/mailing/"
"Oracle Database Administration: The Essential Reference","1-56592-516-5","David C. Kreines, Brian","$39.95","http://www.oreilly.com/catalog/oradba/"
"Oracle DBA Checklists Pocket Reference","0-596-00122-3","Quest Software","$9.95","http://www.oreilly.com/catalog/ordbacheck/"
"Learning Perl on Win32 Systems","1-56592-324-3","Randal L. Schwartz, Erik Olson, Tom Christiansen","$34.95","http://www.oreilly.com/catalog/lperlwin/"
"Programming with GNU Software","1-56592-112-7","Mike Loukides, Andy Oram","$39.95","http://www.oreilly.com/catalog/prognu/"
"Java Foundation Classes in a Nutshell","1-56592-488-6","David Flanagan","$29.95","http://www.oreilly.com/catalog/jfcnut/"
"Programming Embedded Systems in C and C++","1-56592-354-5","Michael Barr","$29.95","http://www.oreilly.com/catalog/embsys/"
"Applying RCS and SCCS","1-56592-117-8","Don Bolinger, Tan Bronson","$34.95","http://www.oreilly.com/catalog/rcs/"
"TCP/IP Network Administration, 3rd Edition","0-596-00297-1","Craig Hunt","$44.95","http://www.oreilly.com/catalog/tcp3/"
"Beyond","0-596-00037-5","Brian McConnell","$24.95","http://www.oreilly.com/catalog/alien/"
"AppleScript in a Nutshell","1-56592-841-5","Bruce W. Perry","$29.95","http://www.oreilly.com/catalog/aplscptian/"
"Unix Backup","1-56592-642-0","W. Curtis Preston","$39.95","http://www.oreilly.com/catalog/unixbr/"
"802.11 Wireless Networks: The Definitive Guide","0-596-00183-5","Matthew Gast","$44.95","http://www.oreilly.com/catalog/802dot11/"
"Running Weblogs with Slash","0-596-00100-2","chromatic, Brian Aker, David Krieger","$34.95","http://www.oreilly.com/catalog/runblogslash/"
"termcap &amp; terminfo","0-937175-22-6","John Strang, Linda Mui, Tim O'Reilly","$29.95","http://www.oreilly.com/catalog/term/"
"Perl & XML","0-596-00205-X","Erik T. Ray, Jason McIntosh","$34.95","http://www.oreilly.com/catalog/perlxml/"
"Windows XP in a Nutshell","0-596-00249-1","Tim O'Reilly, Troy Mott, David A. Karp","$29.95","http://www.oreilly.com/catalog/winxpnut/"
"Practical C++ Programming","1-56592-139-9","Steve Oualline","$34.95","http://www.oreilly.com/catalog/cplus/"
"Exim","0-596-00098-7","Philip Hazel","$44.95","http://www.oreilly.com/catalog/exim/"
"Understanding the Linux Kernel","0-596-00002-2","Daniel P. Bovet, Marco Cesati","$39.95","http://www.oreilly.com/catalog/linuxkernel/"
